sensor_id,centroidX,centroidY,minX,minY,maxX,maxY
1.0,-94.58383563989342,39.088895725053305,-94.58383370724752,39.08886648790457,-94.58380017208451,39.08898715406018
2.0,-94.58361880506169,39.08989490786697,-94.58363662613287,39.089521957567236,-94.58358314406989,39.09026768671056
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,-94.58378540774777,39.08966178122316,-94.58378598949179,39.08963237697995,-94.58375644694102,39.089735651760854
5.0,-94.58404885688748,39.090332032805534,-94.58420264686633,39.09032264337074,-94.58383250008497,39.09035408229779
6.0,-94.58354264900852,39.091391752074315,-94.58355912552194,39.09109058021219,-94.58350709666679,39.09164895957252
7.0,-94.58369714077595,39.09143936581716,-94.583700468284,39.09137343993619,-94.58366857287113,39.091558252275874
8.0,-94.58349097778782,39.09255752682601,-94.5835204361587,39.092039362607615,-94.58342945863332,39.09335958062641
9.0,-94.58364673570102,39.09246142883751,-94.58366479529852,39.09193854107878,-94.58358726637913,39.09334575726997
10.0,-94.58340741051502,39.093999677926654,-94.58343029361116,39.09356953376536,-94.58337154199481,39.0944068494436
11.0,-94.5835815211521,39.09382695754541,-94.58359358593813,39.09359734667642,-94.58354720828386,39.09407724986966
12.0,-94.58350542529733,39.095268369302445,-94.58351369700716,39.095032239254856,-94.58346843430063,39.09560120330629
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,-94.58334986564556,39.097896563112464,-94.58338087998494,39.09743323169319,-94.58329248649022,39.098474607410196
15.0,-94.58345104385194,39.10088124012623,-94.58356151249836,39.10087406020822,-94.5832530642963,39.100907529263395
16.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,-94.58296118922816,39.104017829403624,-94.58296110665387,39.10401393515929,-94.58294226796198,39.10407745917483
18.0,-94.58349330392153,39.108148527553034,-94.5838389745397,39.10807927308398,-94.58299693468604,39.108260354399555
19.0,-94.58242828742344,39.108367454441584,-94.58251733788642,39.10835644134253,-94.5822975742854,39.10840377851393
20.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,-94.58054484340455,39.109204279875826,-94.58060238090552,39.109018738460975,-94.58044102652204,39.109432279532335
22.0,-94.58082749389452,39.109697453260225,-94.5809146909755,39.109486705605434,-94.58071542341197,39.10998047518116
23.0,-94.58358307136355,39.10976498621616,-94.58390674687418,39.10969617461403,-94.58300279575367,39.109895379128936
